timestamp,value
2022-01-19 14:39:53,1
2022-01-19 14:39:58,1
2022-01-19 14:40:03,2
2022-01-19 14:40:08,2
2022-01-19 14:40:13,3
2022-01-19 14:40:18,3
2022-01-19 14:40:23,4
2022-01-19 14:40:28,4
2022-01-19 14:40:33,5
2022-01-19 14:40:38,6
2022-01-19 14:40:43,6
2022-01-19 14:40:48,7
2022-01-19 14:40:53,8
2022-01-19 14:40:58,8
2022-01-19 14:41:03,9
2022-01-19 14:41:08,9
2022-01-19 14:41:13,10
2022-01-19 14:41:18,10
2022-01-19 14:41:23,11
2022-01-19 14:41:28,12
2022-01-19 14:41:33,12
2022-01-19 14:41:38,13
2022-01-19 14:41:43,14
2022-01-19 14:41:48,14
2022-01-19 14:41:53,15
2022-01-19 14:41:58,15
2022-01-19 14:42:03,16
2022-01-19 14:42:08,16
2022-01-19 14:42:13,17
2022-01-19 14:42:18,18
2022-01-19 14:42:23,18
2022-01-19 14:42:28,19
2022-01-19 14:42:33,19
2022-01-19 14:42:38,20
2022-01-19 14:42:43,21
2022-01-19 14:42:48,21
2022-01-19 14:42:53,22
2022-01-19 14:42:58,22
2022-01-19 14:43:03,23
2022-01-19 14:43:08,24
2022-01-19 14:43:13,24
2022-01-19 14:43:18,25
2022-01-19 14:43:23,25
2022-01-19 14:43:28,26
2022-01-19 14:43:33,27
2022-01-19 14:43:38,27
2022-01-19 14:43:43,28
2022-01-19 14:43:48,29
2022-01-19 14:43:53,29
2022-01-19 14:43:58,30
2022-01-19 14:44:03,30
2022-01-19 14:44:08,31
2022-01-19 14:44:13,31
2022-01-19 14:44:18,32
2022-01-19 14:44:23,33
2022-01-19 14:44:28,33
2022-01-19 14:44:33,34
2022-01-19 14:44:38,35
2022-01-19 14:44:43,35
2022-01-19 14:44:48,36
2022-01-19 14:44:53,36
2022-01-19 14:44:58,37
2022-01-19 14:45:03,38
2022-01-19 14:45:08,38
2022-01-19 14:45:13,39
2022-01-19 14:45:18,39
2022-01-19 14:45:23,40
2022-01-19 14:45:28,41
2022-01-19 14:45:33,41
2022-01-19 14:45:38,42
2022-01-19 14:45:43,43
2022-01-19 14:45:48,43
2022-01-19 14:45:53,44
2022-01-19 14:45:58,44
2022-01-19 14:46:03,45
2022-01-19 14:46:08,46
2022-01-19 14:46:13,46
2022-01-19 14:46:18,47
2022-01-19 14:46:23,47
2022-01-19 14:46:28,48
2022-01-19 14:46:33,49
2022-01-19 14:46:38,49
2022-01-19 14:46:43,50
2022-01-19 14:46:48,51
2022-01-19 14:46:53,51
2022-01-19 14:46:58,52
2022-01-19 14:47:03,52
2022-01-19 14:47:08,53
2022-01-19 14:47:13,54
2022-01-19 14:47:18,54
2022-01-19 14:47:23,55
2022-01-19 14:47:28,56
2022-01-19 14:47:33,56
2022-01-19 14:47:38,57
2022-01-19 14:47:43,57
2022-01-19 14:47:48,58
2022-01-19 14:47:53,59
2022-01-19 14:47:58,59
2022-01-19 14:48:03,60
2022-01-19 14:48:08,61
2022-01-19 14:48:13,61
2022-01-19 14:48:18,62
2022-01-19 14:48:23,62
2022-01-19 14:48:28,63
2022-01-19 14:48:33,64
2022-01-19 14:48:38,64
2022-01-19 14:48:43,65
2022-01-19 14:48:48,65
2022-01-19 14:48:53,66
2022-01-19 14:48:58,67
2022-01-19 14:49:03,67
2022-01-19 14:49:08,68
2022-01-19 14:49:13,69
2022-01-19 14:49:18,69
2022-01-19 14:49:23,70
2022-01-19 14:49:28,71
2022-01-19 14:49:33,71
2022-01-19 14:49:38,72
2022-01-19 14:49:43,72
2022-01-19 14:49:48,73
2022-01-19 14:49:53,74
2022-01-19 14:49:58,74
2022-01-19 14:50:03,75
2022-01-19 14:50:08,76
2022-01-19 14:50:13,76
2022-01-19 14:50:18,77
2022-01-19 14:50:23,78
